莫大,ばくだい<br><br>enormous; vast,N0 N5
年頃,としごろ<br><br>(1) approximate age; apparent age <br>(2) marriageable age (esp. of a woman); age of independence; age of adulthood <br>(3) (after modifying phrase) appropriate age (to ...); old enough (to ...) <br>(4) for some years,N0 N5
巫山戯る,ふざける<br><br>to romp; to gambol; to frolic; to joke; to make fun of; to flirt; to mess around; to screw around; to josh,N0 N5 N1
草臥れる,くたびれる<br><br>to get tired; to wear out,N0 N3
宛名,あてな<br><br>(addressee's) name; (recipient's) name and address,N0 N5
椅子,いす<br><br>(1) chair; stool <br>(2) post; office; position,N0 N5
梯子,はしご<br><br>(1) ladder <br>(2) stairs <br>(3) going to several places in succession (e.g. barhopping),N0 N5
捻子,"ねじ<br><br>(1) screw <br>(2) key (of a clock, watch, etc.); spring (of a clock, watch, etc.)",N0 N5
出鱈目,でたらめ<br><br>(1) irresponsible utterance; nonsense; bullshit; codswallop <br>(2) random; haphazard; unsystematic,N0 N5
目眩,めまい<br><br>dizziness; giddiness; vertigo,N0 N5
手拭い,てぬぐい<br><br>(hand) towel,N0 N5
手筈,てはず<br><br>arrangement; plan; programme; program,N0 N5
見窄らしい,みすぼらしい<br><br>shabby; seedy,N0 N5
呆気ない,"あっけない<br><br>not enough; too quick (short, long, etc.)",N0 N5
楕円,だえん<br><br>ellipse,N0 N5
焚き火,たきび<br><br>(1) open-air fire (e.g. for garden refuse); bonfire <br>(2) open fire (e.g. in a kitchen),N0 N5
石鹸,せっけん<br><br>soap,N0 N3
金槌,かなづち<br><br>(1) (iron) hammer <br>(2) hopeless swimmer; complete beginner at swimming,N0 N5
蛋白質,たんぱくしつ<br><br>protein,N0 N5 N4
兎に角,とにかく<br><br>anyhow; at any rate; anyway; somehow or other; generally speaking; in any case,N0 N2
兎も角,ともかく<br><br>anyhow; anyway; somehow or other; generally speaking; in any case; be that as it may,N0 N2
兎角,とかく<br><br>(1) (doing) various things; (doing) this and that <br>(2) being apt to; being prone to; tending to become <br>(3) somehow or other; anyhow; anyway <br>(4) rabbit horns (used as a metaphor for things that do not exist),N0 N2
矢鱈に,やたらに<br><br>andomly; recklessly; blindly,N0 N1
